iteration    condNo_k2
1150.19   1.00400286
1151.19   1.00400286
1152.19   1.00400286
1153.19   1.00400286
1154.19   1.00400286
1155.19   1.00400286
1156.19   1.00400286
1157.19   1.00400286
1158.19   1.00400286
1159.19   1.00400286
1160.19   1.00400286
1161.19   1.00400286
1162.19   1.00400286
1163.19   1.00400286
1164.19   1.00400286
1165.19   1.00400286
1166.19   1.00400286
1167.19   1.00400286
1168.19   1.00400286
1169.19   1.00400286
1170.19   1.00400286
1171.19   1.00400286
1172.19   1.00400286
1173.19   1.00400286
1174.19   1.00400286
1175.19   1.00400286
1176.19   1.00400286
1177.19   1.00400286
1178.19   1.00400286
1179.19   1.00400286
1180.19   1.00400286
1181.19   1.00400286
1182.20   1.00400286
1183.20   1.00400286
1184.20   1.00400286
1185.20   1.00400286
1186.20   1.00400286
1187.20   1.00400286
1188.20   1.00400286
1189.20   1.00400286
1190.20   1.00400286
1191.20   1.00400286
1192.20   1.00400286
1193.20   1.00400286
1194.20   1.00400286
1195.20   1.00400286
1196.20   1.00400286
1197.20   1.00400286
1198.20   1.00400286
1199.20   1.00400286
1200.20   1.00400286
1201.20   1.00400286
1202.20   1.00400286
1203.20   1.00400286
1204.20   1.00400286
1205.20   1.00400286
1206.20   1.00400286
1207.20   1.00400286
1208.20   1.00400286
1209.20   1.00400286
1210.20   1.00400286
1211.20   1.00400286
1212.20   1.00400286
1213.20   1.00400286
1214.20   1.00400286
1215.20   1.00400286
1216.20   1.00400286
1217.20   1.00400286
1218.20   1.00400286
1219.20   1.00400286
1220.20   1.00400286
1221.20   1.00400286
1222.20   1.00400286
1223.20   1.00400286
1224.20   1.00400286
1225.20   1.00400286
1226.20   1.00400286
1227.20   1.00400286
1228.20   1.00400286
1229.20   1.00400286
1230.20   1.00400286
1231.20   1.00400286
1232.20   1.00400286
1233.20   1.00400286
1234.20   1.00400286
1235.20   1.00400286
1236.20   1.00400286
1237.20   1.00400286
1238.20   1.00400286
1239.20   1.00400286
1240.20   1.00400286
1241.20   1.00400286
1242.21   1.00400286
1243.21   1.00400286
1244.21   1.00400286
1245.21   1.00400286
1246.21   1.00802139
1247.21   1.00802139
1248.21   1.00802139
1249.21   1.00802139
1250.21   1.00802139
1251.21   1.00802139
1252.21   1.00802139
1253.21   1.00802139
1254.21   1.00802139
1255.21   1.00802139
1256.21   1.00802139
1257.21   1.00802139
1258.21   1.00802139
1259.21   1.00802139
1260.21   1.00802139
1261.21   1.00802139
1262.21   1.00802139
1263.21   1.00802139
1264.21   1.00802139
1265.21   1.00802139
1266.21   1.00802139
1267.21   1.00802139
1268.21   1.00802139
1269.21   1.00802139
1270.21   1.00802139
1271.21   1.00802139
1272.21   1.00802139
1273.21   1.00802139
1274.21   1.00802139
1275.21   1.00802139
1276.21   1.00802139
1277.21   1.00802139
1278.21   1.00802139
1279.21   1.00802139
1280.21   1.00802139
1281.21   1.00802139
1282.21   1.00802139
1283.21   1.00802139
1284.21   1.00802139
1285.21   1.00802139
1286.21   1.00802139
1287.21   1.00802139
1288.21   1.00802139
1289.21   1.00802139
1290.21   1.00802139
1291.21   1.00802139
1292.21   1.00802139
1293.21   1.00802139
1294.21   1.00802139
1295.21   1.00802139
1296.21   1.00802139
1297.21   1.00802139
1298.21   1.00802139
1299.21   1.00802139
1300.21   1.00802139
1301.21   1.00802139
1302.21   1.00802139
1303.22   1.00802139
1304.22   1.00802139
1305.22   1.00802139
1306.22   1.00802139
1307.22   1.00802139
1308.22   1.00802139
1309.22   1.00802139
1310.22   1.00802139
1311.22   1.00802139
1312.22   1.00802139
1313.22   1.00802139
1314.22   1.00802139
1315.22   1.00802139
1316.22   1.00802139
1317.22   1.00802139
1318.22   1.00802139
1319.22   1.00802139
1320.22   1.00802139
1321.22   1.00802139
1322.22   1.00802139
1323.22   1.00802139
1324.22   1.00802139
1325.22   1.00802139
1326.22   1.00802139
1327.22   1.00802139
1328.22   1.00802139
1329.22   1.00802139
1330.22   1.00802139
1331.22   1.00802139
1332.22   1.00802139
1333.22   1.00802139
1334.22   1.00802139
1335.22   1.00802139
1336.22   1.00802139
1337.22   1.00802139
1338.22   1.00802139
1339.22   1.00802139
1340.22   1.00802139
1341.22   1.00802139
1342.22   1.00802139
1343.22   1.00802139
1344.22   1.00802139
1345.22   1.00802139
1346.22   1.00802139
1347.22   1.00802139
1348.22   1.00802139
1349.22   1.00802139
